Team,Games,Sack,FumbleRecovery,Interception,DEFTD,PointsAllowed,PassingYardsAllowed,RushingYardsAllowed,Safety,KickTD,FantasyPoints,FantasyPointsPerGame
San Francisco 49ers,1,3,1,3,2,17,194.0,121.0,0,0,23.0,23.0
Tennessee Titans,1,5,0,3,1,13,285.0,102.0,0,0,17.0,17.0
New York Jets,1,1,2,2,1,17,254.0,128.0,0,0,15.0,15.0
Seattle Seahawks,1,5,3,0,0,20,418.0,34.0,0,0,11.0,11.0
Tampa Bay Buccaneers,1,1,1,1,1,31,166.0,98.0,0,0,11.0,11.0
Minnesota Vikings,1,4,1,2,0,12,304.0,73.0,0,0,10.0,10.0
Baltimore Ravens,1,3,1,2,0,10,190.0,21.0,0,0,9.0,9.0
Los Angeles Rams,1,3,2,1,0,27,239.0,127.0,0,0,9.0,9.0
New Orleans Saints,1,6,0,1,0,28,268.0,180.0,0,0,8.0,8.0
Indianapolis Colts,1,4,1,1,0,30,333.0,125.0,0,0,8.0,8.0
Buffalo Bills,1,4,1,0,0,16,175.0,68.0,1,0,8.0,8.0
Arizona Cardinals,1,3,2,0,0,27,385.0,116.0,0,0,7.0,7.0
Green Bay Packers,1,5,0,1,0,3,228.0,46.0,0,0,7.0,7.0
Detroit Lions,1,5,0,1,0,27,308.0,112.0,0,0,7.0,7.0
Cincinnati Bengals,1,4,1,0,0,21,195.0,72.0,0,0,6.0,6.0
Cleveland Browns,1,4,0,0,0,43,248.0,123.0,1,0,6.0,6.0
Kansas City Chiefs,1,1,1,1,0,26,350.0,81.0,0,0,5.0,5.0
Chicago Bears,1,5,0,0,0,10,203.0,47.0,0,0,5.0,5.0
Dallas Cowboys,1,1,2,0,0,17,323.0,151.0,0,0,5.0,5.0
Houston Texans,1,1,0,1,0,30,370.0,148.0,0,0,3.0,3.0
Oakland Raiders,1,3,0,0,0,16,268.0,95.0,0,0,3.0,3.0
Carolina Panthers,1,1,0,1,0,30,186.0,166.0,0,0,3.0,3.0
New England Patriots,1,1,0,1,0,3,276.0,32.0,0,0,3.0,3.0
Los Angeles Chargers,1,2,0,0,0,24,190.0,203.0,0,0,2.0,2.0
Atlanta Falcons,1,1,0,0,0,28,98.0,172.0,0,0,1.0,1.0
Philadelphia Eagles,1,1,0,0,0,27,380.0,28.0,0,0,1.0,1.0
Pittsburgh Steelers,1,1,0,0,0,33,373.0,99.0,0,0,1.0,1.0
Miami Dolphins,1,1,0,0,0,59,379.0,265.0,0,0,1.0,1.0
Washington Redskins,1,1,0,0,0,32,313.0,123.0,0,0,1.0,1.0
New York Giants,1,0,0,0,0,35,405.0,89.0,0,0,0.0,0.0
Jacksonville Jaguars,1,0,0,0,0,40,378.0,113.0,0,0,0.0,0.0
Denver Broncos,1,0,0,0,0,24,259.0,98.0,0,0,0.0,0.0
