0,1,2,3,4,5,6,7,8,9,10,11
Christian McCaffrey,CAR,1,19,128,2,11,10,81,0,37.9,37.9
Austin Ekeler,LAC,1,12,58,1,7,6,96,2,36.4,36.4
Derrick Henry,TEN,1,19,84,1,2,1,75,1,28.4,28.4
Dalvin Cook,MIN,1,21,111,2,2,2,9,0,25.0,25.0
Josh Jacobs,OAK,1,23,85,2,1,1,28,0,23.8,23.8
Marlon Mack,IND,1,25,174,1,0,0,0,0,23.4,23.4
Chris Carson,SEA,1,15,46,1,7,6,35,1,23.1,23.1
Mark Ingram,BAL,1,14,107,2,0,0,0,0,22.7,22.7
David Johnson,ARI,1,18,82,0,7,6,55,1,22.7,22.7
Alvin Kamara,NO,1,13,97,0,8,7,72,0,20.4,20.4
Le'Veon Bell,NYJ,1,17,60,0,9,6,32,1,18.2,18.2
Malcolm Brown,LAR,1,11,53,2,0,0,0,0,17.3,17.3
Saquon Barkley,NYG,1,11,120,0,6,4,19,0,15.9,15.9
Damien Williams,KC,1,13,26,1,6,6,39,0,15.5,15.5
Ezekiel Elliott,DAL,1,13,53,1,2,1,10,0,12.8,12.8
Devin Singletary,BUF,1,4,70,0,6,5,28,0,12.3,12.3
Latavius Murray,NO,1,6,43,1,3,2,4,0,11.7,11.7
Wayne Gallman,NYG,1,2,17,1,3,3,24,0,11.6,11.6
Leonard Fournette,JAC,1,13,66,0,6,4,28,0,11.4,11.4
Chris Thompson,WAS,1,3,10,0,10,7,68,0,11.3,11.3
Rex Burkhead,NE,1,8,44,0,8,5,41,0,11.0,11.0
Duke Johnson,HOU,1,9,57,0,5,4,33,0,11.0,11.0
James White,NE,1,4,26,0,7,5,56,0,10.7,10.7
Todd Gurley,LAR,1,14,97,0,1,1,4,0,10.6,10.6
Nick Chubb,CLE,1,17,75,0,4,3,10,0,10.0,10.0
Ronald Jones,TB,1,13,75,0,1,1,18,0,9.8,9.8
LeSean McCoy,KC,1,10,81,0,1,1,12,0,9.8,9.8
Carlos Hyde,HOU,1,10,83,0,1,1,2,0,9.0,9.0
Tarik Cohen,CHI,1,0,0,0,10,8,49,0,8.9,8.9
Phillip Lindsay,DEN,1,11,43,0,6,4,23,0,8.6,8.6
James Conner,PIT,1,10,21,0,4,4,44,0,8.5,8.5
Dontrell Hilliard,CLE,1,1,4,1,2,1,14,0,8.3,8.3
Darren Sproles,PHI,1,9,47,0,3,3,16,0,7.8,7.8
Giovani Bernard,CIN,1,7,21,0,3,2,42,0,7.3,7.3
Kerryon Johnson,DET,1,16,49,0,2,2,13,0,7.2,7.2
Tevin Coleman,SF,1,6,23,0,3,2,33,0,6.6,6.6
Mike Davis,CHI,1,5,19,0,7,6,17,0,6.6,6.6
Royce Freeman,DEN,1,10,56,0,1,1,5,0,6.6,6.6
Justin Jackson,LAC,1,6,57,0,3,1,4,0,6.6,6.6
Patrick Ricard,BAL,1,0,0,0,1,1,1,1,6.6,6.6
Jordan Howard,PHI,1,6,44,0,3,2,11,0,6.5,6.5
Alex Armah,CAR,1,1,1,1,0,0,0,0,6.1,6.1
Gus Edwards,BAL,1,17,56,0,0,0,0,0,5.6,5.6
Peyton Barber,TB,1,8,33,0,4,2,12,0,5.5,5.5
Derrius Guice,WAS,1,10,18,0,3,3,20,0,5.3,5.3
Dare Ogunbowale,TB,1,0,0,0,5,4,33,0,5.3,5.3
David Montgomery,CHI,1,6,18,0,1,1,27,0,5.0,5.0
Alexander Mattison,MIN,1,9,49,0,0,0,0,0,4.9,4.9
Devonta Freeman,ATL,1,8,19,0,4,3,12,0,4.6,4.6
D'Ernest Johnson,CLE,1,1,13,0,2,2,23,0,4.6,4.6
